INDEGREE	PAGERANK	MYANIMELIST
FMA BROTHERHOOD	FMA	FMA BROTHERHOOD
Great Teacher Onizuka	Gintamaº	Gintamaº
Shingeki no Kyojin	Koe no Katachi	Ginatama’
Hajime no Ippo	Gintama	Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou
Hunter X Hunter	Hunter X Hunter	Hunter X Hunter
Gintama Movie 2: Kanketsu-hen 	Gintama’	Gintama’: Enchousen
Shigatsu wa Kimi no Uso	Yamato Takeru	Gintama Movie 2: Kanketsu-hen
Gintama 	Yamato Takeru: After War	Koe no Katachi
Samurai Champloo	Great Teacher Onizuka	Gintama
Bakuman. 2nd Season	Future GPX Cyber Formula Sin	Haikyuu!!: Second Season
